RecipeId,Titulo,Categoría
1,Ensalada asiática de quinoa y gambas,#facil #asiatica #sana 
2,Crema de judías verdes con champiñones, #facil #vegana #sana 
3,Salmón al horno con hierbas: Una excelente ,#fit #sana #comida #cena
4,Pollo con verduras al wok,#facil #Fit #sana #comida
5,Tacos de pescado con aguacate,#fit #sana #comida #cena
6,"Ensalada caliente de champiñones, brócoli, quinoa y espinacas",#facil #vegana #sana #comida #cena
7,Tortilla de zanahorias y pak choi,#facil #asiatica #sana
